Order Priority,Discount offered,Unit Price,Freight Expenses,Freight Mode,Segment,Product Type,Product Sub-Category,Product Container,State,City,Region,Country,Order Date,Ship Date,Profit,QtyOrdered,Sales
High,0.0600,40.98,2.99,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,02-01-2010,04-01-2010,-19.10,3,124.81
High,0.0500,155.06,7.07,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Meghalaya,Shillong,East,India,02-01-2010,09-01-2010,845.66,8,1225.60
High,0.0900,9.11,2.15,Express Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Maharashtra,Parbhani,West,India,02-01-2010,04-01-2010,20.30,4,34.41
High,0.0800,15.04,1.97,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Maharashtra,Parbhani,West,India,02-01-2010,02-01-2010,108.52,11,157.27
High,0.0300,4.26,1.20,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Ghaziabad,North,India,03-01-2010,04-01-2010,9.82,29,122.23
High,0.0300,4.26,1.20,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Kerala,Pathanamthitta,South,India,03-01-2010,04-01-2010,18.66,7,29.50
Low,0.0800,43.22,16.71,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Andhra Pradesh,Vizianagaram,South,India,03-01-2010,05-01-2010,280.27,3,130.62
Low,0.0500,574.74,24.49,Regular Air,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Large Box,Andhra Pradesh,Vizianagaram,South,India,03-01-2010,10-01-2010,-112.43,12,6945.16
High,0.0400,10.14,2.27,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Andhra Pradesh,Vizianagaram,South,India,03-01-2010,07-01-2010,24.92,3,30.94
Not Specified,0.0001,213.45,14.70,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Madhya Pradesh,Dewas,West,India,03-01-2010,05-01-2010,-560.81,1,224.12
High,0.0900,5.98,4.69,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Punjab,Hoshiarpur,West,India,05-01-2010,06-01-2010,-781.13,11,65.85
Not Specified,0.0100,150.98,30.00,Delivery Truck,Personel Usage,Preserved Food,Sundried Tomatoes,Jumbo Drum,Jharkhand,Giridih,North,India,06-01-2010,08-01-2010,131.38,6,958.46
High,0.0100,28.28,13.99,Express Air,Personel Usage,Processed Meat,Fresh Water Eel,Medium Box,Jharkhand,Giridih,North,India,06-01-2010,08-01-2010,-89.29,12,368.84
Not Specified,0.0300,35.99,1.10,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Jharkhand,Giridih,North,India,06-01-2010,07-01-2010,-211.04,1,30.86
Not Specified,0.0600,1.70,1.99,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Jammu And Kashmir,Jammu,North,India,06-01-2010,07-01-2010,80.07,7,12.15
High,0.0100,30.98,5.09,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Jammu And Kashmir,Jammu,North,India,06-01-2010,08-01-2010,896.41,9,288.42
High,0.0300,3.28,3.97,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Azamgarh,North,India,06-01-2010,08-01-2010,-90.76,7,24.57
High,0.0800,15.99,13.18,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Madhya Pradesh,Bhopal,West,India,07-01-2010,08-01-2010,-246.93,12,192.33
Low,0.0300,297.64,14.70,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Tamil Nadu,Coimbatore,South,India,10-01-2010,15-01-2010,-48.97,12,3707.05
High,0.0200,6.48,9.17,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Guna,West,India,10-01-2010,11-01-2010,-105.69,4,28.20
Low,0.0800,399.98,12.06,Delivery Truck,Personel Usage,Canned Foods,Sliced Pineapple,Jumbo Box,Madhya Pradesh,Dhar,West,India,11-01-2010,18-01-2010,28.51,5,1839.91
High,0.0200,48.04,5.09,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Maharashtra,Baramati,West,India,13-01-2010,13-01-2010,105.25,3,152.54
High,0.0700,5.98,5.79,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Rajasthan,Kota,West,India,13-01-2010,15-01-2010,-41.97,13,77.42
Critical,0.0800,115.99,56.14,Delivery Truck,Restaurant Chain,Canned Foods,Sliced Pineapple,Jumbo Drum,Uttar Pradesh,Allahabad,North,India,14-01-2010,16-01-2010,-272.86,5,562.93
High,0.0800,4.28,0.94,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Allahabad,North,India,14-01-2010,17-01-2010,10.58,7,29.18
High,0.0800,8.09,7.96,Express Air,Restaurant Chain,Preserved Food,Marmalade,Small Box,Himachal Pradesh,Hamirpur,North,India,15-01-2010,16-01-2010,15.98,6,48.25
